# Accession-level inventory (raw material for Q-F)
# run date: 2026-08-24 | GEO fields from NCBI E-utilities esummary db=gds
# includes_blood is decided from repository metadata (series/sample titles), not from paper prose
accession	repository	n_samples	is_NPC	is_single_cell	includes_blood	taxon	title	sample_titles	cited_by_included	cited_by_secondary
CNP0000428	CNGB	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	32686767	36371985
CNP0001341	CNGB	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	40746726	-
CNP0001503	CNGB	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	40746726	-
CRA001160	GSA-Human	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	-
EGAS00001005013	EGA	NOT_FOUND	NOT_FOUND	NOT_FOUND	UNKNOWN	NOT_FOUND	NOT_FOUND (not indexed in NCBI GEO; controlled-access or non-NCBI repository)	NOT_FOUND	-	-
GSE100797	GEO	25	N	N	N	Homo sapiens	Mutational and neoantigen load predict clinical benefit of adoptive T cell therapy in melanoma	MM909_34_2 MM909_27_1 MM909_47_1 MM909_11_1 MM909_37_1 MM909_02_1 MM909_43_1 MM909_16_1 MM909_25_1 MM909_45_1 MM909_35_2 MM909_03_1 MM909_29_1 MM909_40_1 MM909_14_1 MM909_31_1 MM909_26_1 MM909_17_1 MM909_42_1 MM909_36_1 MM909_22_2 MM909_46_1 MM909_01_1 MM909_15_2 MM909_06_1	-	-
GSE102349	GEO	113	Y	N	N	Homo sapiens	Genomic Analysis of Nasopharyngeal Carcinoma Reveals TME-based Subtypes	Patient 338 Patient 36 Patient 15 Patient 437 Patient 56 Patient 286 Patient 406 Patient 392 Patient 237 Patient 207 Patient 426 Patient 278 Patient 450 Patient 1 Patient 229 Patient 344 Patient 79 Patient 305 Patient 349 Patient 178 Patient 258 Patient 177 Patient 4 Patient 322 Patient 396 Patient 422 Patient 226 Patient 240 Patient 443 Patient 431 Patient 29 Patient 260 Patient 19 Patient 46 Pat	40389670,33531485	-
GSE113328	GEO	2	Y	N	N	Homo sapiens	Expression data from WT and TNFRSF19 KO HNE-1 cells	HNE-1 TNFRSF19 WT HNE-1 TNFRSF19 KO	-	-
GSE118719	GEO	11	Y	N	N	Homo sapiens	Transcriptomic profiling of nasopharyngeal carcinoma (NPC) and normal control samples	mrna_2 mrna_10 mrna_11 mrna_5 mrna_8 mrna_6 mrna_9 mrna_3 mrna_7 mrna_4 mrna_1	-	-
GSE119642	GEO	6	Y	N	N	Homo sapiens	Expression data from ectopic expression of BDH2 in Nasopharyngeal carcinoma (NPC) cell lines	BDH2-5-8F-rep1 PCMV6-5-8F-rep1 BDH2-5-8F-rep2 PCMV6-5-8F-rep2 BDH2-5-8F-rep3 PCMV6-5-8F-rep3	-	-
GSE120926	GEO	56	Y	Y	N	Homo sapiens	Single-cell RNA sequencing defines the interplay between tumor cells, virus and microenvironment in nasopharyngeal carcinoma	Bulk RNA-seq of Homo sapiens: primary tumor of NPC patient 138 Bulk RNA-seq of Homo sapiens: primary tumor of NPC patient 737 10X_Genomic_RNA-seq of Homo sapeins:primar tumor of NPC patient 58 10X_Genomic_RNA-seq of Homo sapeins:primar tumor of NPC patient 62 Bulk RNA-seq of Homo sapiens: primary tumor of NPC patient C_52 10X_Genomic_RNA-seq of Homo sapiens:primar tumor of NPC patient 46 Bulk RNA-	-	40631744
GSE121600	GEO	22	N	Y	N	Sus scrofa; Mus musculus; Homo sapiens	Single-cell RNA-seq reveals novel cell differentiation dynamics during human airway epithelium regeneration	HAECs_Pneumacult_ALI47 HAECs_BEGM_ALI17 HAECs_Pneumacult_ALI7 Nasal_Brushing HAECs_BEGM_ALI31_D395 HAECs_BEGM_ALI4 Bronchial_Biopsy PIG_Trachea HAECs_BEGM_ALI14_D267 HAECs_Pneumacult_ALI28_D389 HAECs_BEGM_ALI2 HAECs_BEGM_ALI14_D266 HAECs_Pneumacult_ALI26_D395 HAECs_Pneumacult_ALI28 HAECs_BEGM_ALI12 HAECs_BEGM_ALI62 HAECs_BEGM_ALI14_D252 MTECs_ALI3 Turbinate HAECs_Pneumacult_ALI12 HAECs_BEGM_ALI7 H	33531485	-
GSE123813	GEO	86	N	Y	N	Homo sapiens	Clonal replacement of tumor-specific T cells following PD-1 blockade [single cells]	su011_pre_Tcell_rep1_TCR su002_post_Tumor_CD45_RNA su010_pre_SCC_Tcell_rep1_RNA su010_post_SCC_CD39_Tcell_RNA su008_post_Tumor_CD45_RNA su007_pre_Tcell_RNA su010_pre_SCC_Tcell_rep1_TCR su008_pre_CD45_RNA su007_pre_TCR su012_pre_Tcell_TCR su008_post_TCR su001_post_TCR su003_pre_TCR su012_pre_Tcell_RNA su005_pre_CD45_RNA su014_post_Tcell_TCR su004_pre_Tumor_CD45_RNA su005_post_Tcell_RNA su011_pre_Tc	-	-
GSE12452	GEO	41	Y	N	N	Homo sapiens	mRNA expression profiling of nasopharyngeal carcinoma	normal nasopharyngeal tissue, specimen N2 nasopharyngeal carcinoma, specimen T12 normal nasopharyngeal tissue, specimen N5 nasopharyngeal carcinoma, specimen T15 nasopharyngeal carcinoma, specimen T9 nasopharyngeal carcinoma, specimen T3 nasopharyngeal carcinoma, specimen T29 nasopharyngeal carcinoma, specimen T26 nasopharyngeal carcinoma, specimen T27 nasopharyngeal carcinoma, specimen T10 nasoph	-	41718918
GSE127465	GEO	40	N	Y	Y	Mus musculus; Homo sapiens	Single cell transcriptomics of human and mouse lung cancers reveals conserved myeloid populations across individuals and species	tumor_bearing_mouse_1 [mouse_t_1_1] healthy_mouse_2 [mouse_h_2_1] patient_2_tumor [human_p2t2] patient_4_tumor [human_p4t1] patient_3_tumor [human_p3t2] patient_4_blood [human_p4b1] patient_6_tumor [human_p6t1] tumor_bearing_mouse_1 [mouse_t_1_4] tumor_bearing_mouse_1 [mouse_t_1_3] patient_1_tumor [human_p1t1] tumor_bearing_mouse_2 [mouse_t_2_2] tumor_bearing_mouse_2 [mouse_t_2_1] tumor_bearing_mo	-	-
GSE127765	GEO	9	Y	N	N	Homo sapiens	Microarray analysis of differentially expressed genes in bicalein-treated Nasopharyngeal carcinoma (HK-1) cell line	HK-1 monolayer_non treatment_replicate 2 HK-1 monolayer_10 uM Baicalein treatment_replicate 2 HK-1 monolayer_20 uM Baicalein treatment_replicate 2 HK-1 monolayer_20 uM Baicalein treatment_replicate 1 HK-1 monolayer_10 uM Baicalein treatment_replicate 1 HK-1 monolayer_non treatment_replicate 1 HK-1 monolayer_non treatment_replicate 3 HK-1 monolayer_20 uM Baicalein treatment_replicate 3 HK-1 monolay	-	-
GSE132465	GEO	33	N	Y	N	Homo sapiens	Single cell 3' RNA sequencing of 23 Korean colorectal cancer patients	SMC01-N SMC07-T SMC04-N SMC18-T SMC04-T SMC10-N SMC15-T SMC07-N SMC21-T SMC10-T SMC24-T SMC02-T SMC08-T SMC02-N SMC05-N SMC11-T SMC05-T SMC08-N SMC06-T SMC16-T SMC03-T SMC19-T SMC06-N SMC09-N SMC03-N SMC22-T SMC25-T SMC23-T SMC09-T SMC14-T SMC17-T SMC20-T SMC01-T	-	-
GSE135222	GEO	27	N	N	N	Homo sapiens	DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq]	NSCLC 1619 NSCLC 1873 NSCLC 1066 NSCLC 1352 NSCLC 990 NSCLC 1412 NSCLC 1104 NSCLC 1510 NSCLC 1164 NSCLC 1017 NSCLC 573 NSCLC 1554 NSCLC 1809 NSCLC 1508 NSCLC 1327 NSCLC 1401 NSCLC 1708 NSCLC 1425 NSCLC 1155 NSCLC 1528 NSCLC 1079 NSCLC 378 NSCLC 947 NSCLC 825 NSCLC 1358 NSCLC 1145 NSCLC 1203	-	-
GSE140228	GEO	41	N	Y	Y	Homo sapiens	Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma	DSA12_liver DSN09_ascites_smartseq2 DEJ10_tumorEdge DEJ16_lymphnode DSD15_blood DSN09_tumor_smartseq2 DSN09_lymphnode_droplet DSF22_blood DEJ16_tumorCore DSD15_liver DEJ08_liver DSF27_blood DEJ10_ascites DSA12_tumor DSM22_tumor DSM27_tumor DSN09_liver_droplet DSN09_lymphnode_smartseq2 DSM27_blood DEJ16_liver DSN09_blood_droplet DSA12_blood DSF22_liver DSN09_blood_smartseq2 DSF27_tumor DEJ10_tumorC	-	-
GSE146771	GEO	20	N	Y	N	Homo sapiens	Single-Cell Analyses Inform Mechanisms of Myeloid-Targeted therapies in colon cancer	P0104 (10x) P0613 (10x) P0411 (Smart-seq2) P0305 (10x) P0323 (10x) P1025 (10x) P0408 (10x) P1228 (Smart-seq2) P0728 (Smart-seq2) P0123 (10x) P0305 (Smart-seq2) P0825 (Smart-seq2) P0104 (Smart-seq2) P0413 (Smart-seq2) P0202 (10x) P0309 (Smart-seq2) P1212 (Smart-seq2) P0720 (Smart-seq2) P1026 (10x) P0410 (10x)	-	-
GSE147390	GEO	1	N	Y	N	Homo sapiens	Single-cell RNA sequencing on human osteoblasts	Osteoblast	-	-
GSE150430	GEO	16	Y	Y	N	Homo sapiens	Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma	P01 P09 P12 P15 N01 P07 P13 P04 P10 P11 P08 P02 P06 P05 P14 P03	40818459,32686767	41399390,41522354,41718918,41794796,39747499,40272558,40822284,41158214,41249704,38400862,39726587,36860875,37744335,41377662
GSE150825	GEO	35	Y	Y	N	Homo sapiens	Comprehensive single-cell sequencing reveals the stromal dynamics and tumor-specific characteristics in the microenvironment of nasopharyngeal carcinoma	NPC_patient_14 (VDJ-seq, BCR) NPC_patient_9 (RNA-seq) NPC_patient_8 (VDJ-seq, BCR) NPC_patient_2 (RNA-seq) NLH_patient_11 (VDJ-seq, TCR) NPC_patient_4 (VDJ-seq, BCR) NPC_patient_8 (RNA-seq) NPC_patient_9 (VDJ-seq, TCR) NPC_patient_6 (VDJ-seq, BCR) NPC_patient_5 (RNA-seq) NLH_patient_11, rep1 (RNA-seq) NLH_patient_12 (VDJ-seq, TCR) NPC_patient_6 (RNA-seq) NLH_patient_13 (VDJ-seq, BCR) NPC_patient_7	42625209,42625209,40818459	41399390,41504259,41815160,42056895,40624598,40822284,37061217,39158776,36371985
GSE157829	GEO	7	N	Y	N	Homo sapiens	An Atlas of Immune Cell Exhaustion in HIV-Infected Individuals Revealed by Single-Cell Transcriptomics	PID 630 PID 717 PID 471 HD1 PID 876 PID 529 PID 168	-	-
GSE162025	GEO	40	Y	Y	Y	Homo sapiens	Tumour Heterogeneity and Intercellular Networks of Nasopharyngeal Carcinoma at Single Cell Resolution	NPC_SC_1807_Tumor_TCR NPC_SC_1807_Tumor_cDNA NPC_SC_1811_Tumor_TCR NPC_SC_1811_Tumor_cDNA NPC_SC_1810_PBMC_TCR NPC_SC_1810_PBMC_cDNA NPC_SC_1816_Tumor_cDNA NPC_SC_1815_PBMC_cDNA NPC_SC_1815_PBMC_TCR NPC_SC_1816_Tumor_TCR NPC_SC_1806_Tumor_cDNA NPC_SC_1808_PBMC_TCR NPC_SC_1805_PBMC_cDNA NPC_SC_1806_Tumor_TCR NPC_SC_1808_PBMC_cDNA NPC_SC_1813_PBMC_TCR NPC_SC_1805_PBMC_TCR NPC_SC_1810_Tumor_cDNA NPC_	40818459,40818459,37607536,37607536	41504259,41522354,41705255,39744570,40624598,41083782,38382442,39158776,37098551,36371985
GSE175540	GEO	24	N	Y	N	Homo sapiens	Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer	ccRCC tumor frozen_a_17 ccRCC tumor ffpe_c_3 ccRCC tumor frozen_b_13 ccRCC tumor frozen_c_5 ccRCC tumor ffpe_c_39 ccRCC tumor frozen_a_1 ccRCC tumor frozen_a_3 ccRCC tumor frozen_b_1 ccRCC tumor ffpe_c_10 ccRCC tumor ffpe_c_45 ccRCC tumor ffpe_c_34 ccRCC tumor ffpe_c_20 ccRCC tumor ffpe_c_36 ccRCC tumor ffpe_c_51 ccRCC tumor frozen_b_18 ccRCC tumor frozen_c_23 ccRCC tumor ffpe_c_21 ccRCC tumor ffp	-	-
GSE178481	GEO	26	N	Y	N	Homo sapiens	A transcriptional metastatic signature predicts survival in clear cell renal cell carcinoma	RCC-PR3-PTumor1 RCC-PR7-PTumor RCC-PR9-PTumor2 RCC-PR6-Normal RCC-BM2-PTumor2 RCC-PR4-Normal RCC-PR1-PTumor RCC-PR4-PTumor RCC-PR2-Normal RCC-PR6-PTumor RCC-PR3-PTumor2 RCC-BM2-PTumor1 RCC-BM1-Normal RCC-PR1-Normal RCC-BM2-Normal RCC-PR5-PTumor2 RCC-PR5-PTumor3 RCC-PR5-Normal RCC-PR2-PTumor RCC-PR9-Normal RCC-PR5-PTumor1 RCC-PR9-PTumor RCC-PR8-Normal RCC-BM1-PTumor RCC-PR3-Normal RCC-PR3-PTumor3	-	-
