labelling,assay,gene,n_organs,spread_med,spread_lo,spread_hi,spread_bright_lo,spread_bright_hi,rho_lo,rho_hi,organs_differ,tissue,det_med,det_lo,det_hi
clean_strict,10x 5' v2,XCL1,,,,,,,,,,bone marrow,0.2786458333333333,0.25595238095238093,0.30303030303030304
clean_strict,10x 5' v2,XCL1,,,,,,,,,,mesenteric lymph node,0.48488664987405544,0.3,0.839622641509434
clean_strict,10x 5' v2,XCL1,,,,,,,,,,spleen,0.42424393425988005,0.359375,0.5525727069351231
clean_strict,10x 5' v2,XCL2,3.0,1.6120906801007555,1.0879651058139834,2.8096054888507713,1.0239052197006675,4.0,-1.0,1.0,False,,,,
clean_strict,10x 5' v2,XCL2,,,,,,,,,,bone marrow,0.4401041666666667,0.2619047619047619,0.5454545454545454
clean_strict,10x 5' v2,XCL2,,,,,,,,,,mesenteric lymph node,0.5491183879093199,0.32,0.7358490566037735
clean_strict,10x 5' v2,XCL2,,,,,,,,,,spleen,0.47271096453875006,0.340625,0.6085011185682326
clean_loose,10x 5' v1,CCL3,5.0,1.3980263157894737,1.1749647248538602,1.9784323659260332,1.384482287898437,5.217391304347826,-0.7,0.7999999999999999,False,,,,
clean_loose,10x 5' v1,CCL3,,,,,,,,,,bone marrow,0.8170731707317073,0.4810810810810811,0.8679245283018868
clean_loose,10x 5' v1,CCL3,,,,,,,,,,liver,0.78125,0.75177304964539,0.8095238095238095
clean_loose,10x 5' v1,CCL3,,,,,,,,,,lung,0.6666666666666666,0.41299019607843135,0.7380689655172414
clean_loose,10x 5' v1,CCL3,,,,,,,,,,spleen,0.7263965104826228,0.6051302200269421,0.7867790970772442
clean_loose,10x 5' v1,CCL3,,,,,,,,,,thoracic lymph node,0.6607832322118037,0.4672222222222222,0.8666666666666667
clean_loose,10x 5' v1,CCL4,5.0,1.208128078817734,1.0542604694032112,1.6038711167103794,1.1111111111111112,1.7770545158665583,-0.9999999999999999,0.49999999999999994,False,,,,
clean_loose,10x 5' v1,CCL4,,,,,,,,,,bone marrow,0.9024390243902439,0.8108108108108109,1.0
clean_loose,10x 5' v1,CCL4,,,,,,,,,,liver,0.875,0.7799671592775042,0.9682539682539683
clean_loose,10x 5' v1,CCL4,,,,,,,,,,lung,0.8819444444444444,0.8382352941176471,0.9618275862068966
clean_loose,10x 5' v1,CCL4,,,,,,,,,,spleen,0.8839833759590793,0.8191793893129771,0.9228824209011492
clean_loose,10x 5' v1,CCL4,,,,,,,,,,thoracic lymph node,0.7638888888888888,0.5811224489795919,0.9594594594594594
clean_loose,10x 5' v1,CCL5,5.0,1.1844660194174759,1.068852828487717,1.5163579712653625,1.1128615702479339,1.7444444444444445,-0.9999999999999999,0.39999999999999997,False,,,,
clean_loose,10x 5' v1,CCL5,,,,,,,,,,bone marrow,0.8378378378378378,0.7368421052631579,0.926829268292683
clean_loose,10x 5' v1,CCL5,,,,,,,,,,liver,0.7899686520376176,0.6666666666666666,0.9206349206349206
clean_loose,10x 5' v1,CCL5,,,,,,,,,,lung,0.8469827586206897,0.7254901960784313,0.8964444444444444
clean_loose,10x 5' v1,CCL5,,,,,,,,,,spleen,0.7999011936445202,0.7302389705882353,0.8905515688757564
clean_loose,10x 5' v1,CCL5,,,,,,,,,,thoracic lymph node,0.7733333333333334,0.5691609977324263,0.9054054054054055
clean_loose,10x 5' v1,XCL1,5.0,2.7843843843843845,1.5855855855855856,4.782312925170068,1.3061579478221705,2.866244939271255,0.19999999999999998,0.9999999999999999,True,,,,
clean_loose,10x 5' v1,XCL1,,,,,,,,,,bone marrow,0.3157894736842105,0.18902439024390244,0.6981132075471698
clean_loose,10x 5' v1,XCL1,,,,,,,,,,liver,0.723404255319149,0.4614121510673235,0.796875
clean_loose,10x 5' v1,XCL1,,,,,,,,,,lung,0.5555555555555556,0.2857505070993915,0.6525000000000001
clean_loose,10x 5' v1,XCL1,,,,,,,,,,spleen,0.6924721811216734,0.31991370726850316,0.9108455882352942
clean_loose,10x 5' v1,XCL1,,,,,,,,,,thoracic lymph node,0.8792792792792793,0.635,0.9693877551020409
clean_loose,10x 5' v1,XCL2,5.0,2.2706175467795626,1.6645039309835377,15.022085945663465,1.430630936227951,3.081818181818181,0.0,0.9999999999999999,True,,,,
clean_loose,10x 5' v1,XCL2,,,,,,,,,,bone marrow,0.37735849056603776,0.05263157894736842,0.6646341463414634
clean_loose,10x 5' v1,XCL2,,,,,,,,,,liver,0.5073891625615764,0.3546099290780142,0.7899686520376176
clean_loose,10x 5' v1,XCL2,,,,,,,,,,lung,0.44588235294117645,0.1111111111111111,0.7629310344827587
clean_loose,10x 5' v1,XCL2,,,,,,,,,,spleen,0.6780370843989769,0.547339361150226,0.7299386743215031
clean_loose,10x 5' v1,XCL2,,,,,,,,,,thoracic lymph node,0.7733333333333333,0.5941043083900227,0.9594594594594594
clean_loose,10x 5' v2,CCL3,3.0,1.2015929388923994,1.0389610389610389,1.3934845007933618,1.0723432630604988,1.8747417174913408,-1.0,1.0,False,,,,
clean_loose,10x 5' v2,CCL3,,,,,,,,,,bone marrow,0.6363636363636364,0.6160714285714286,0.734375
clean_loose,10x 5' v2,CCL3,,,,,,,,,,mesenteric lymph node,0.62,0.5849056603773585,0.7707808564231738
clean_loose,10x 5' v2,CCL3,,,,,,,,,,spleen,0.6656319910514541,0.5,0.799373040752351
clean_loose,10x 5' v2,CCL4,3.0,1.296195652173913,1.0212461890243902,1.5712682379349046,1.0781119465329991,1.881578947368421,-1.0,0.5,False,,,,
clean_loose,10x 5' v2,CCL4,,,,,,,,,,bone marrow,0.84375,0.8214285714285714,0.8484848484848485
clean_loose,10x 5' v2,CCL4,,,,,,,,,,mesenteric lymph node,0.6509433962264151,0.54,0.8261964735516373
clean_loose,10x 5' v2,CCL4,,,,,,,,,,spleen,0.7811835850111857,0.7109826589595376,0.8557993730407524
clean_loose,10x 5' v2,CCL5,3.0,1.168355855855856,1.0227529560466964,1.4292027417027418,1.0265625,1.30168137822368,-1.0,-0.5,False,,,,
clean_loose,10x 5' v2,CCL5,,,,,,,,,,bone marrow,0.8645833333333334,0.7878787878787878,0.8898809523809523
clean_loose,10x 5' v2,CCL5,,,,,,,,,,mesenteric lymph node,0.74,0.6226415094339622,0.7758186397984886
clean_loose,10x 5' v2,CCL5,,,,,,,,,,spleen,0.7903269508670521,0.7337807606263982,0.8213166144200627
clean_loose,10x 5' v2,XCL1,3.0,1.7401539584265169,1.2897196261682244,3.280386134269417,1.1012661212364132,2.0230199691298476,-0.5,1.0,True,,,,
clean_loose,10x 5' v2,XCL1,,,,,,,,,,bone marrow,0.2786458333333333,0.25595238095238093,0.30303030303030304
clean_loose,10x 5' v2,XCL1,,,,,,,,,,mesenteric lymph node,0.48488664987405544,0.3,0.839622641509434
clean_loose,10x 5' v2,XCL1,,,,,,,,,,spleen,0.42424393425988005,0.359375,0.5525727069351231
clean_loose,10x 5' v2,XCL2,3.0,1.6719883889695208,1.0879651058139834,2.8096054888507713,1.051939513477975,1.9403643321113895,-1.0,1.0,False,,,,
clean_loose,10x 5' v2,XCL2,,,,,,,,,,bone marrow,0.4401041666666667,0.2619047619047619,0.5454545454545454
clean_loose,10x 5' v2,XCL2,,,,,,,,,,mesenteric lymph node,0.5491183879093199,0.32,0.7358490566037735
clean_loose,10x 5' v2,XCL2,,,,,,,,,,spleen,0.47271096453875006,0.340625,0.6085011185682326
